hour,inventory_time,inventory_tx,cm inv,unique_tx,unique_fp,unique_fn,tp_inv,tn_inv,fp_inv,fn_inv,fn_index_inv,fn_expiry_inv,FPR inv,FNR inv,Accuracy % inv,Reprocess % inv,total_tx,cm total,entry_tx,cm entry,added_tx,tp_entry,tn_entry,fp_entry,fn_entry,fn_index_entry,fn_expiry_entry,FPR Entry,FNR Entry,Accuracy % Entry,Reprocess % Entry,exit_tx,cm exit,exited_tx,block_tx,debris,tp_exit,tn_exit,fp_exit,fn_exit,fn_index_exit,fn_expiry_exit,fn_index,fn_expiry,FPR Exit,FNR Exit,Accuracy % Exit,Reprocess % Exit,FPR,FNR,Accuracy %,Reprocess %,current_mempool_tx,shadow_mempool.size(),(fp_entry-fn_entry+fp_exit-fn_exit),non_block,shadow check,debris check
42,151200,144556,144556,127707,4,0,104319,40232,5,0,0,0,3.45887e-05,0,99.9965,0,4345927,2225726,2225726,2225726,2220662,3755,2220656,1309,6,6,0,0.000588123,2.69575e-06,99.9412,0.000269575,1975645,1870941,1870945,0,0,1870941,104700,0,0,0,0,6,0,0,0,100,0,0.000309816,1.41468e-06,99.969,0.000253134,349717,351024,1303,0,351020,18446744073709551612,6.57576e+07,349717,0,1
43,154800,147126,147126,130058,5,0,106530,40590,6,0,0,0,4.07814e-05,0,99.9959,0,4430169,2269129,2269129,2269129,2263811,3823,2263805,1495,6,6,0,0.000658843,2.64419e-06,99.9341,0.000264419,2013914,1907380,1907385,0,0,1907380,106529,0,0,0,0,6,0,0,0,100,0,0.000347161,1.38772e-06,99.9653,0.000248318,356426,357920,1489,0,357915,18446744073709551611,6.70454e+07,356426,0,1
44,158400,150238,150238,132862,6,0,108936,41295,7,0,0,0,4.65927e-05,0,99.9953,0,4527416,2319001,2319001,2319001,2313403,3868,2313395,1730,8,8,0,0.000746011,3.44976e-06,99.9254,0.000344976,2058177,1949425,1949431,0,0,1949425,108746,0,0,0,0,8,0,0,0,100,0,0.000393105,1.8105e-06,99.9607,0.000323986,363972,365700,1722,0,365694,18446744073709551610,6.85936e+07,363972,0,1
45,162000,153434,153434,135611,6,1,111205,42221,7,1,1,0,4.56222e-05,6.51746e-06,99.9954,0.000651746,4625609,2369376,2369376,2369376,2363482,3890,2363474,2004,8,8,0,0.000845792,3.37642e-06,99.9154,0.000337642,2102799,1991746,1991752,0,0,1991746,111046,0,0,0,0,9,0,0,0,100,0,0.000445447,1.99355e-06,99.9555,0.000356745,371730,373731,1996,0,373726,18446744073709551611,7.01302e+07,371730,0,1
46,165600,160841,160841,142534,39,1,113781,47019,40,1,1,0,0.000248693,6.21732e-06,99.9751,0.000621732,4726526,2417061,2417061,2417061,2410771,3996,2410762,2294,9,9,0,0.000949087,3.72353e-06,99.9051,0.000372353,2148624,2031800,2031829,0,0,2031800,116794,0,0,0,0,10,0,0,0,100,0,0.00050632,2.16932e-06,99.9494,0.000387912,378942,381255,2285,0,381227,18446744073709551588,7.15055e+07,378942,0,1
47,169200,164196,164196,145345,40,1,116317,47837,41,1,1,0,0.000249702,6.09028e-06,99.975,0.000609028,4814950,2461875,2461875,2461875,2455253,4034,2455244,2588,9,9,0,0.00105123,3.65575e-06,99.8949,0.000365575,2188879,2069570,2069600,0,0,2069570,119278,0,0,0,0,10,0,0,0,100,0,0.000559877,2.12962e-06,99.944,0.000380797,385653,388261,2579,0,388232,18446744073709551587,7.28007e+07,385653,0,1
48,172800,168044,168044,148731,41,1,119323,48678,42,1,1,0,0.000249935,5.95082e-06,99.975,0.000595082,4910862,2510347,2510347,2510347,2503356,4065,2503347,2926,9,9,0,0.00116558,3.58516e-06,99.8834,0.000358516,2232471,2110378,2110409,0,0,2110378,122061,0,0,0,0,10,0,0,0,100,0,0.000619779,2.08821e-06,99.938,0.000373358,392947,395894,2917,0,395864,18446744073709551586,7.42222e+07,392947,0,1
49,176400,171690,171690,152017,42,2,122345,49300,43,2,2,0,0.000250451,1.16489e-05,99.975,0.00116489,5006029,2558681,2558681,2558681,2551267,4128,2551257,3286,10,10,0,0.00128426,3.90826e-06,99.8716,0.000390826,2275658,2150997,2151029,0,0,2150997,124627,0,0,0,0,12,0,0,0,100,0,0.000681976,2.45831e-06,99.9318,0.000439501,400238,403544,3276,0,403514,18446744073709551586,7.56163e+07,392557,7681,2
50,180000,175325,175325,155345,44,2,125485,49793,45,2,2,0,0.000256666,1.14074e-05,99.9743,0.00114074,5102699,2607813,2607813,2607813,2599967,4186,2599955,3660,12,12,0,0.00140347,4.60156e-06,99.8597,0.000460156,2319561,2192342,2192375,0,0,2192342,127184,0,0,0,0,14,0,0,0,100,0,0.000744647,2.81378e-06,99.9255,0.000503029,407592,411271,3648,0,411240,18446744073709551585,7.70839e+07,392220,15372,2
51,183600,178663,178663,158405,47,2,128069,50544,48,2,2,0,0.000268662,1.11943e-05,99.9731,0.00111943,5198734,2656830,2656830,2656830,2648578,4260,2648566,3992,12,12,0,0.00150254,4.51666e-06,99.8497,0.000451666,2363241,2233683,2233718,0,0,2233683,129521,0,0,0,0,14,0,0,0,100,0,0.000796968,2.76177e-06,99.9203,0.000493741,414860,418873,3980,0,418840,18446744073709551583,7.85184e+07,391888,22972,2
52,187200,181495,181495,161003,48,2,130476,50968,49,2,2,0,0.00026998,1.10196e-05,99.973,0.00110196,5290748,2704238,2704238,2704238,2695558,4333,2695543,4347,15,15,0,0.00160748,5.54685e-06,99.8392,0.000554685,2405015,2273479,2273515,0,0,2273479,131498,0,0,0,0,17,0,0,0,100,0,0.000852062,3.29505e-06,99.9148,0.000589105,422043,426409,4332,0,426375,18446744073709551582,8.00028e+07,391537,30506,2
53,190800,184719,184719,163958,50,2,132880,51786,51,2,2,0,0.000276095,1.08273e-05,99.9724,0.00108273,5386991,2753580,2753580,2753580,2744506,4366,2744491,4708,15,15,0,0.00170977,5.44745e-06,99.829,0.000544745,2448692,2314876,2314914,0,0,2314876,133776,0,0,0,0,17,0,0,0,100,0,0.000905921,3.23611e-06,99.9094,0.000578566,429592,434321,4693,0,434285,18446744073709551580,8.15071e+07,391185,38407,2
54,194400,187730,187730,166680,53,2,135084,52590,54,2,2,0,0.000287647,1.06536e-05,99.9712,0.00106536,5486907,2805065,2805065,2805065,2795560,4437,2795544,5068,16,16,0,0.00180673,5.70397e-06,99.8193,0.000570397,2494112,2358113,2358154,0,0,2358113,135956,0,0,0,0,18,0,0,0,100,0,0.000957213,3.36389e-06,99.9043,0.000601445,437406,442497,5052,0,442458,18446744073709551577,8.31496e+07,390854,46552,2
